date,demand,RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday
2015-10-15,130260.37,39.06694868,14.4,34,22.2,0,Y,N
2015-10-16,123985.97,43.80436083,17,23.8,8.4,0,Y,N
2015-10-17,104916.345,29.67361006,11.5,20.5,20.4,0,Y,N
2015-10-18,100812.04,29.12086757,12.6,17.7,24.2,0,Y,N
2015-10-19,120795,43.51067632,8.3,26.7,25.8,0,Y,N
2015-10-20,126655.49,43.3328692,12.9,31.8,14.4,0,Y,N
2015-10-21,122368.885,39.68189403,17.6,18.3,7.3,2.4,Y,N
2015-10-22,121471.64,44.03304646,11.4,16.7,8.5,7,Y,N
2015-10-23,120420.7,48.1698968,11.8,16.4,21,0,Y,N
2015-10-24,106813.03,32.19205197,9.2,19.5,25.1,0,Y,N
2015-10-25,102279.745,17.4659695,10.2,31.3,20.1,0,Y,N
2015-10-26,115297.34,29.39851628,14,15.9,14.5,0.2,Y,N
2015-10-27,116619.57,31.32939962,10.4,23.3,28.1,0.2,Y,N
2015-10-28,122887.41,39.51380992,10.1,26.8,27.6,0,Y,N
2015-10-29,124222.935,62.32012828,13.7,26.1,26.8,0,Y,N
2015-10-30,121256.97,35.87555035,12.6,27.4,22.6,0,Y,N
2015-10-31,106353.44,18.37479011,15.7,25.9,13.5,1,Y,N
2015-11-01,103629.645,14.68483973,16.4,26,10,4.4,Y,N
2015-11-02,113791.75,25.01784896,14.5,16,8.2,0,Y,N
2015-11-03,101793.035,14.15794771,8,17.9,25.4,0.2,Y,Y
2015-11-04,120177.945,29.23763309,10.9,27.2,19.6,0,Y,N
2015-11-05,125985.465,34.57679076,16.2,24.7,16.4,12.2,Y,N
2015-11-06,120505.585,30.64286687,16.6,18.7,3.7,17.6,Y,N
2015-11-07,104269.79,18.27265483,11.9,16.8,25.2,1.2,Y,N
2015-11-08,103793.085,21.09536038,8.5,24.8,25.1,0,Y,N
2015-11-09,127234.72,35.05480023,13.6,33.1,26.4,0,Y,N
2015-11-10,121617.28,32.06707648,15.2,16.4,5.3,0,Y,N
2015-11-11,121566.645,35.22410385,11.5,20.1,16,2,Y,N
2015-11-12,123775.16,38.48525874,13.7,21.2,19.2,0,Y,N
2015-11-13,117078.585,32.82309665,13.5,18.2,26.1,0.4,Y,N
2015-11-14,103646.635,33.56093861,12.1,18.3,27.5,0.2,Y,N
2015-11-15,99761.81,28.29807106,13,18.5,27.6,0.2,Y,N
2015-11-16,124557.225,39.12737374,11.4,26.3,29.4,0.2,Y,N
2015-11-17,131442.2,36.02454725,15.7,33.3,24,0,Y,N
2015-11-18,132353.755,60.68023827,14.7,29.5,29.2,0,Y,N
2015-11-19,138118.705,78.29096807,15.6,31.5,20.6,0,Y,N
2015-11-20,123412.685,38.02649768,15.4,19.1,6.4,0.4,Y,N
2015-11-21,102647.905,27.41362241,12.2,17.5,20.9,3.6,Y,N
2015-11-22,98621.62,32.34590077,13.5,20,27.3,0,Y,N
2015-11-23,114406.825,41.36877245,13.8,20.7,27.3,0,Y,N
2015-11-24,118894.305,48.52152976,13.6,24.5,30,0,Y,N
2015-11-25,124728.875,60.69203392,13.5,33.3,9.3,0,Y,N
2015-11-26,112907.145,30.49417411,10.8,17.4,23.3,0,Y,N
2015-11-27,117492.82,40.36654546,9,18.2,16.8,0.4,Y,N
2015-11-28,105011.195,43.32666084,12,20.1,27.1,0,Y,N
2015-11-29,102162.53,39.12126473,12.6,20.3,23.4,0,Y,N
2015-11-30,122452.415,45.57726057,10,32.2,26.6,0,Y,N
2015-12-01,117115.62,37.92095899,14.5,24.6,24.4,1.8,Y,N
2015-12-02,115230.125,37.4708208,9.2,17.5,32.4,0,Y,N
